id,bank,close_price,high_price,history,low_price,open_price,volume
376,"Garanti BBVA",62.05,63.6,"Jan 25, 2024",61.75,62.5,32847801
377,"Garanti BBVA",63.15,63.4,"Jan 26, 2024",61.55,62.2,33307202
378,"Garanti BBVA",0,0,"Jan 27, 2024",0,0,0
379,"Garanti BBVA",0,0,"Jan 28, 2024",0,0,0
380,"Garanti BBVA",63.4,64.05,"Jan 29, 2024",62.5,63.85,25433993
381,"Garanti BBVA",63.6,64.4,"Jan 30, 2024",62.35,64.1,49008987
382,"Garanti BBVA",63.5,64.3,"Jan 31, 2024",62.6,63.65,27691383
383,"Garanti BBVA",56.45,57.2,"Dec 1, 2023",55.4,56.05,38562941
384,"Garanti BBVA",0,0,"Dec 2, 2023",0,0,0
385,"Garanti BBVA",0,0,"Dec 3, 2023",0,0,0
386,"Garanti BBVA",57.9,57.9,"Dec 4, 2023",55.2,56.6,43128827
387,"Garanti BBVA",58.45,59,"Dec 5, 2023",57.4,57.9,37760496
388,"Garanti BBVA",60,62.1,"Dec 6, 2023",58.3,58.45,51921537
389,"Garanti BBVA",59.4,60.1,"Dec 7, 2023",57.05,60,34012271
390,"Garanti BBVA",57.7,60.65,"Dec 8, 2023",57.1,59.6,33694534
391,"Garanti BBVA",0,0,"Dec 9, 2023",0,0,0
392,"Garanti BBVA",0,0,"Dec 10, 2023",0,0,0
393,"Garanti BBVA",56.45,58.15,"Dec 11, 2023",56.15,57.6,27831613
394,"Garanti BBVA",59.4,59.95,"Dec 12, 2023",56.15,56.3,47770958
395,"Garanti BBVA",58.9,61.75,"Dec 13, 2023",58.35,59.1,53663940
396,"Garanti BBVA",62.5,63,"Dec 14, 2023",59.15,60.15,51302169
397,"Garanti BBVA",62.05,64.2,"Dec 15, 2023",61.75,62.9,44635855
398,"Garanti BBVA",0,0,"Dec 16, 2023",0,0,0
399,"Garanti BBVA",0,0,"Dec 17, 2023",0,0,0
400,"Garanti BBVA",62.1,62.8,"Dec 18, 2023",61.25,61.5,27233832
401,"Garanti BBVA",60.6,62.6,"Dec 19, 2023",59.9,62.1,25799684
402,"Garanti BBVA",62.5,62.8,"Dec 20, 2023",60.15,60.6,31614066
403,"Garanti BBVA",62.25,63.6,"Dec 21, 2023",61.2,62.95,39549879
404,"Garanti BBVA",60.3,62.55,"Dec 22, 2023",60.05,62.35,30220754
405,"Garanti BBVA",0,0,"Dec 23, 2023",0,0,0
406,"Garanti BBVA",0,0,"Dec 24, 2023",0,0,0
407,"Garanti BBVA",57.7,60.1,"Dec 25, 2023",56.85,59.8,15474017
408,"Garanti BBVA",56.2,58.4,"Dec 26, 2023",54.7,58.2,33919418
409,"Garanti BBVA",55.75,56.45,"Dec 27, 2023",55.25,56,24508620
410,"Garanti BBVA",56.3,57.2,"Dec 28, 2023",55.5,56.5,20041745
411,"Garanti BBVA",58.35,58.6,"Dec 29, 2023",56.2,56.25,22696671
412,"Garanti BBVA",46.66,47.7,"Nov 1, 2023",45.08,47.3,36363723
413,"Garanti BBVA",47.6,48.5,"Nov 2, 2023",46.62,47,33106068
414,"Garanti BBVA",48.18,48.2,"Nov 3, 2023",46.8,47.66,32187897
415,"Garanti BBVA",0,0,"Nov 4, 2023",0,0,0
416,"Garanti BBVA",0,0,"Nov 5, 2023",0,0,0
417,"Garanti BBVA",50.15,50.45,"Nov 6, 2023",48.6,48.62,26710135
418,"Garanti BBVA",49.78,50.4,"Nov 7, 2023",49.22,50.2,20374873
